
/⁠/⁠******
/⁠/⁠ Copyright IRIT, LIMSI, ⁠CNRS
/⁠/⁠ Farah Benamara, Jihen Karoui, Véronique Moriceau, Isabelle Robba
/⁠/⁠ E-⁠mail : benamara@irit.fr, moriceau@limsi.fr
/⁠/⁠ Date: 2017-⁠02-05
// Governed by the CeCILL license under French law and abiding by the rules of distribution of free software.
// You can use, modify and/or redistribute the software under the terms of the CeCILL license as circulated by CEA, CNRS and INRIA at the following URL "http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.txt".
/⁠/⁠******


6135288522	Train de vie des ministères : Fillon conteste les chiffres Qui ment? () http://tinyurl.com/y89zgkk	figurative	negative
8676075660	Un complot sioniste pour augmenter les accidents mortels en Tunisie http://snipr.com/ua2dw	figurative	negative
15548787910	[rp-fr][Numerama] La Chine rejoint l'Inde pour s'opposer à l'ACTA http://ur1.ca/05rxl	figurative	objective
20724930600	LeGvnt maitrise la situation RT @cedricgarrofe Incendies en Russie: état d'urgence autour d'un centre nucléaire http://bit.ly/doqgSq	figurative	negative
24031674173	Chanceux! RT @lemondefr Le patron de Google reçu par Nicolas Sarkozy http://bit.ly/aYrNCx	figurative	negative
24107537151	#NKM : « Les #Verts et #Europe #écologie, c’est une pétaudière ! » prêt pour l'assemblée nationale ! #EE http://bit.ly/9EGop1,	figurative	negative
24854125713	Nokia vient de changer de PDG sans doute pour avoir eu de trop bons résultats ;-p http://bit.ly/c8jtoD	figurative	negative
103881404630315008	@slovar Depuis 2007, on a pu voir que #Sarkozy avait toujours organisé sa politique au service de l'intérêt général... 	figurative	negative
106999124443922432	#géopolitique / La Chine (continue) de construire Son nouvel ordre mondial, pauvre Oncle Sam () bit.ly/qwAi6J 	figurative	negative
108248806180651008	Ts les jours, l' #Algérie cherche à améliorer ses relations avec la #France, cela se voit : Sahel, #Libye, AQMI, repentance, etc. 	figurative	negative
113316847222394880	: une copie chinoise d'android par Baidu (le google chinois), mais qui repose sur android qui est gratos http://www.presence-pc.com/actualite/yi-android-chine-44874/#xtor=RSS-11	figurative	objective
113555740660215808	#LOL “@Rue89: [Vigie] Hollande est-il devenu démagogue ? http://bit.ly/ngTHDM"	figurative	negative
115495771113132032	#DSK Quel bel homme. Avec son physique il ne peut pas forcer les femmes à coucher avec lui. Elles sont toutes à ses pieds. 	figurative	negative
116859249744809984	@D4DO_greg @bloomee meuuuuuuuuuh non #sautemandat est une légende ça existe pas chez EELV #saymal 	figurative	negative
118354344776171522	 => #Facebook s'intéresse à ses amis les annonceurs, pas aux vôtres via @moderateur #fb #reseauxsociaux http://ow.ly/6EK2y	figurative	objective
